"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
1.236620513E2,5.238683540E1,4.952727790E0,-1.009650370E-1,2.849999905E0,7.859999847E1,3.790092468E0,3.289504528E0
1.246613715E2,5.238684114E1,4.952769100E0,9.096175029E-2,3.000000000E0,7.400000000E1,3.790092468E0,3.420066595E0
1.256605806E2,5.238685039E1,4.952811090E0,2.534749883E-1,3.049999952E0,6.630000305E1,3.790092468E0,3.386099100E0
1.266620084E2,5.238686012E1,4.952853040E0,2.546119337E-1,3.049999952E0,6.959999847E1,3.790092468E0,3.261009216E0
1.276607135E2,5.238687089E1,4.952902550E0,1.643633186E0,3.400000095E0,6.759999847E1,3.790092468E0,3.106636763E0
1.286659884E2,5.238688239E1,4.952952530E0,2.122743642E0,3.420000076E0,6.819999695E1,3.790092468E0,2.788130045E0
1.296618933E2,5.238689378E1,4.952994220E0,1.560284168E0,3.069999933E0,6.930000305E1,3.790092468E0,2.500000000E0
1.306619547E2,5.238690660E1,4.953031680E0,6.471162578E-1,3.029999971E0,6.769999695E1,3.790092468E0,2.500000000E0
1.316617721E2,5.238692035E1,4.953070660E0,2.314481170E-1,3.109999895E0,6.600000000E1,3.790092468E0,2.500000000E0
1.326611242E2,5.238693423E1,4.953106640E0,-1.034868560E0,2.980000019E0,6.740000153E1,3.790092468E0,2.500000000E0
1.336608668E2,5.238694819E1,4.953141110E0,-1.466347136E0,2.950000048E0,6.250000000E1,3.790092468E0,2.500000000E0
1.346607260E2,5.238696290E1,4.953176300E0,-2.414914067E0,3.019999981E0,6.129999924E1,3.790092468E0,2.500000000E0
1.356618170E2,5.238697463E1,4.953220650E0,-1.369400313E0,3.009999990E0,6.730000305E1,3.790092468E0,2.500000000E0
1.366615093E2,5.238698736E1,4.953266840E0,-7.370310348E-1,3.140000105E0,6.020000076E1,3.790092468E0,2.500000000E0
1.376624443E2,5.238700162E1,4.953310410E0,-4.830790728E-1,3.019999981E0,5.709999847E1,3.790092468E0,2.500000000E0
1.386611244E2,5.238701723E1,4.953351880E0,8.288530700E-2,3.019999981E0,5.159999847E1,3.790092468E0,2.500000000E0
1.396629722E2,5.238703580E1,4.953387080E0,2.090309125E-1,3.039999962E0,4.179999924E1,3.790092468E0,2.500000000E0
1.406639051E2,5.238705334E1,4.953423360E0,6.058055635E-1,3.039999962E0,5.029999924E1,3.790092468E0,2.500000000E0
1.416605196E2,5.238706938E1,4.953460600E0,2.678984618E-1,3.019999981E0,5.090000153E1,3.790092468E0,2.500000000E0
1.426610077E2,5.238708639E1,4.953492530E0,1.644256817E-1,2.910000086E0,4.240000153E1,3.790092468E0,2.500000000E0
1.436620996E2,5.238710351E1,4.953523820E0,-1.293549317E-1,2.960000038E0,4.740000153E1,3.790092468E0,2.500000000E0
1.446619496E2,5.238712086E1,4.953556450E0,-7.437955331E-2,3.009999990E0,4.540000153E1,3.790092468E0,2.500000000E0
1.456618279E2,5.238713699E1,4.953591980E0,-2.971916336E-2,3.049999952E0,5.520000076E1,3.790092468E0,2.500000000E0
1.466659802E2,5.238715181E1,4.953626980E0,-5.903465928E-1,2.920000076E0,5.120000076E1,3.790092468E0,2.500000000E0
1.476608762E2,5.238716756E1,4.953659930E0,-1.680027010E-1,2.910000086E0,5.059999847E1,3.790092468E0,2.500000000E0
1.486615554E2,5.238718435E1,4.953692890E0,2.092376980E-1,2.950000048E0,5.320000076E1,3.790092468E0,2.500000000E0
1.496616311E2,5.238720107E1,4.953726560E0,3.588783137E-1,3.000000000E0,5.190000153E1,3.790092468E0,2.500000000E0
1.506605336E2,5.238721925E1,4.953757810E0,4.427847355E-1,2.990000010E0,4.729999924E1,3.790092468E0,2.500000000E0
1.516612643E2,5.238724069E1,4.953776840E0,4.585734429E-1,2.680000067E0,2.520000076E1,3.790092468E0,2.500000000E0
1.526604744E2,5.238726711E1,4.953782450E0,8.897666945E-1,3.069999933E0,7.000000000E0,3.790092468E0,2.500000000E0
1.536627448E2,5.238729475E1,4.953775680E0,2.073070055E-1,3.009999990E0,3.495000000E2,3.790092468E0,2.500000000E0
1.546614991E2,5.238732476E1,4.953756750E0,1.124697119E0,3.460000038E0,3.363999939E2,3.790092468E0,2.500000000E0
1.556613440E2,5.238735260E1,4.953738550E0,9.405831014E-1,3.089999914E0,3.422000122E2,3.790092468E0,2.500000000E0
1.566607028E2,5.238737981E1,4.953726620E0,3.319112949E-1,3.109999895E0,3.435000000E2,3.790092468E0,2.500000000E0
1.576604634E2,5.238740596E1,4.953712030E0,-6.228603346E-2,3.119999886E0,3.340000000E2,3.790092468E0,2.500000000E0
1.586603813E2,5.238743060E1,4.953692010E0,-5.485907297E-1,3.079999924E0,3.306000061E2,3.790092468E0,2.500000000E0
1.596639643E2,5.238745449E1,4.953672880E0,-9.083090617E-1,2.990000010E0,3.335000000E2,3.790092468E0,2.500000000E0
1.606626644E2,5.238747760E1,4.953654230E0,-1.654808010E0,2.960000038E0,3.322999878E2,3.790092468E0,2.500000000E0
1.616621293E2,5.238750251E1,4.953635720E0,-1.742246696E0,3.140000105E0,3.341000061E2,3.790092468E0,2.500000000E0
1.626656622E2,5.238752846E1,4.953617980E0,-1.634981303E0,3.119999886E0,3.366000061E2,3.790092468E0,2.500000000E0
1.636616797E2,5.238755396E1,4.953598200E0,-2.255317838E0,3.170000076E0,3.313999939E2,3.790092468E0,2.500000000E0
1.646678420E2,5.238758598E1,4.953587680E0,-1.432158241E0,3.539999962E0,3.536000061E2,3.790092468E0,2.500000000E0
1.656611880E2,5.238761999E1,4.953571280E0,-1.631643281E0,3.700000048E0,3.362000122E2,3.790092468E0,2.500000000E0
1.666609475E2,5.238765260E1,4.953547360E0,-1.534381771E0,3.609999895E0,3.355000000E2,3.790092468E0,2.500000000E0
1.676672901E2,5.238768519E1,4.953523120E0,-1.445665398E0,3.710000038E0,3.348999939E2,3.790092468E0,2.500000000E0
1.686610748E2,5.238771785E1,4.953498860E0,-2.036514366E0,3.700000048E0,3.353999939E2,3.790092468E0,2.500000000E0
1.696626172E2,5.238774868E1,4.953476530E0,-2.135177317E0,3.539999962E0,3.377000122E2,3.790092468E0,2.500000000E0
1.706606241E2,5.238777847E1,4.953458600E0,-2.791639477E0,3.500000000E0,3.416000061E2,3.790092468E0,2.500000000E0
1.716613490E2,5.238780962E1,4.953445660E0,-3.377296008E0,3.630000114E0,3.477000122E2,3.790092468E0,2.500000000E0
1.726631435E2,5.238784214E1,4.953443370E0,-3.602348675E0,3.650000095E0,2.000000000E0,3.790092468E0,2.500000000E0
1.736641134E2,5.238787103E1,4.953463210E0,-3.633606987E0,3.460000038E0,3.160000038E1,3.790092468E0,2.500000000E0
1.746612467E2,5.238789505E1,4.953493250E0,-4.416880448E0,3.150000095E0,3.450000000E1,3.790092468E0,2.500000000E0
1.756645875E2,5.238791736E1,4.953527070E0,-4.616169766E0,3.359999895E0,4.320000076E1,3.790092468E0,2.500000000E0
1.766609865E2,5.238793814E1,4.953563210E0,-4.674529734E0,3.230000019E0,4.470000076E1,3.790092468E0,2.500000000E0
1.776631508E2,5.238796011E1,4.953597180E0,-4.654947378E0,3.329999924E0,4.179999924E1,3.790092468E0,2.500000000E0
1.786623883E2,5.238798245E1,4.953627440E0,-4.779348592E0,3.250000000E0,3.929999924E1,3.790092468E0,2.500000000E0
1.796616273E2,5.238800435E1,4.953657960E0,-4.433718542E0,3.160000086E0,4.340000153E1,3.790092468E0,2.500000000E0
1.806620603E2,5.238802689E1,4.953687680E0,-4.285414706E0,3.240000010E0,4.070000076E1,3.790092468E0,2.500000000E0
1.816611560E2,5.238804855E1,4.953717460E0,-4.351589629E0,3.150000095E0,4.300000000E1,3.790092468E0,2.500000000E0
1.826620940E2,5.238806966E1,4.953748260E0,-3.815103606E0,3.170000076E0,4.490000153E1,3.790092468E0,2.500000000E0
1.836611685E2,5.238809123E1,4.953778390E0,-3.735404429E0,3.170000076E0,4.140000153E1,3.790092468E0,2.500000000E0
1.846608019E2,5.238811289E1,4.953808860E0,-3.347416350E0,3.180000067E0,4.409999847E1,3.790092468E0,2.500000000E0
1.856620957E2,5.238813586E1,4.953840410E0,-2.838209955E0,3.200000048E0,4.620000076E1,3.790092468E0,2.500000000E0
1.866620523E2,5.238815962E1,4.953871660E0,-3.613548507E0,3.210000038E0,4.120000076E1,3.790092468E0,2.500000000E0
1.876637726E2,5.238818409E1,4.953898250E0,-3.510409761E0,3.180000067E0,3.400000000E1,3.790092468E0,2.549177170E0
1.886609257E2,5.238820868E1,4.953919530E0,-3.978563004E0,3.119999886E0,2.739999962E1,3.790092468E0,2.500000000E0
1.896616347E2,5.238823301E1,4.953925780E0,-4.598641886E0,2.759999990E0,3.099999905E0,3.790092468E0,2.500000000E0
1.906621362E2,5.238825846E1,4.953920290E0,-4.944067816E0,2.940000057E0,3.530000000E2,3.790092468E0,2.500000000E0
1.916608553E2,5.238828464E1,4.953908530E0,-5.235724390E0,3.039999962E0,3.453999939E2,3.790092468E0,2.500000000E0
1.926636690E2,5.238831599E1,4.953895040E0,-4.286590917E0,3.309999943E0,3.457999878E2,3.790092468E0,2.500000000E0
1.936621977E2,5.238834649E1,4.953878650E0,-4.596798725E0,3.349999905E0,3.396000061E2,3.790092468E0,2.500000000E0
1.946620764E2,5.238837839E1,4.953860520E0,-4.226890808E0,3.430000067E0,3.397000122E2,3.790092468E0,2.500000000E0
1.956622838E2,5.238840920E1,4.953841110E0,-3.935232260E0,3.400000095E0,3.366000061E2,3.790092468E0,2.500000000E0
1.966619614E2,5.238843804E1,4.953819380E0,-3.528526603E0,3.349999905E0,3.322000122E2,3.790092468E0,2.500000000E0
1.976629740E2,5.238846648E1,4.953799060E0,-3.016657119E0,3.329999924E0,3.368999939E2,3.790092468E0,2.500000000E0
1.986651908E2,5.238849574E1,4.953779770E0,-2.370630593E0,3.369999886E0,3.390000000E2,3.790092468E0,2.500000000E0
1.996627010E2,5.238852556E1,4.953763080E0,-2.302299507E0,3.430000067E0,3.422000122E2,3.790092468E0,2.500000000E0
2.006634866E2,5.238855580E1,4.953744210E0,-1.831320169E0,3.420000076E0,3.385000000E2,3.790092468E0,2.500000000E0
2.016620143E2,5.238858420E1,4.953723660E0,-1.188103221E0,3.380000114E0,3.380000000E2,3.790092468E0,2.500000000E0
2.026615040E2,5.238861062E1,4.953706040E0,-1.919826350E0,3.150000095E0,3.402999878E2,3.790092468E0,2.500000000E0
2.036637550E2,5.238863720E1,4.953688890E0,-7.344957540E-1,3.289999962E0,3.415000000E2,3.790092468E0,2.500000000E0
2.046669784E2,5.238866469E1,4.953671200E0,-4.290469896E-1,3.319999933E0,3.433999939E2,3.790092468E0,2.500000000E0
2.056642079E2,5.238869068E1,4.953651010E0,-6.607722305E-1,3.240000010E0,3.375000000E2,3.790092468E0,2.500000000E0
2.066622030E2,5.238871643E1,4.953630590E0,-1.030082016E-1,3.269999981E0,3.405000000E2,3.790092468E0,2.500000000E0
2.076626052E2,5.238874076E1,4.953609860E0,1.552541117E-1,3.190000057E0,3.356000061E2,3.790092468E0,2.500000000E0
2.086624205E2,5.238876187E1,4.953591660E0,-4.461668622E-1,2.940000057E0,3.367000122E2,3.790092468E0,2.500000000E0
2.096615565E2,5.238878296E1,4.953574010E0,-3.204146924E-1,3.009999990E0,3.373999939E2,3.790092468E0,2.500000000E0
