"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
1.500088559E2,5.238769285E1,4.955444320E0,7.710311937E0,3.299999952E0,2.508000031E2,3.790092468E0,3.260791302E0
1.510105805E2,5.238768400E1,4.955399090E0,7.947638676E0,3.240000010E0,2.478000031E2,3.790092468E0,3.233794212E0
1.520130746E2,5.238767488E1,4.955354660E0,7.654936200E0,3.190000057E0,2.488000031E2,3.790092468E0,3.209492922E0
1.530105156E2,5.238766370E1,4.955311330E0,7.801684556E0,3.240000010E0,2.430000000E2,3.790092468E0,3.321125031E0
1.540183522E2,5.238765146E1,4.955268840E0,8.719550055E0,3.190000057E0,2.451999969E2,3.790092468E0,3.365950346E0
1.550126970E2,5.238763562E1,4.955229860E0,9.430869503E0,3.279999971E0,2.300000000E2,3.790092468E0,3.531449795E0
1.560129950E2,5.238761795E1,4.955192430E0,8.394445548E0,3.180000067E0,2.283000031E2,3.790092468E0,3.703456163E0
1.570136461E2,5.238760265E1,4.955152110E0,8.384817718E0,3.250000000E0,2.356000061E2,3.790092468E0,3.837005854E0
1.580073457E2,5.238759815E1,4.955115570E0,7.945825157E0,2.329999924E0,2.543999939E2,3.790092468E0,3.549179792E0
1.590095976E2,5.238759391E1,4.955080270E0,8.122251170E0,2.740000010E0,2.433000031E2,3.790092468E0,3.471655369E0
1.600150916E2,5.238758799E1,4.955040130E0,7.923671968E0,2.859999895E0,2.516999969E2,3.790092468E0,3.365868807E0
1.610072006E2,5.238757669E1,4.954999350E0,7.906542246E0,3.039999962E0,2.355000000E2,3.790092468E0,3.404812574E0
1.620139388E2,5.238756061E1,4.954958900E0,8.264650047E0,3.069999933E0,2.338000031E2,3.790092468E0,3.478420496E0
1.630148624E2,5.238754705E1,4.954915110E0,7.812578827E0,3.180000067E0,2.453999939E2,3.790092468E0,3.378856897E0
1.640089263E2,5.238753493E1,4.954869740E0,7.579869089E0,3.150000095E0,2.428999939E2,3.790092468E0,3.344567060E0
1.650149210E2,5.238752467E1,4.954830110E0,4.608456853E0,2.859999895E0,2.390000000E2,3.790092468E0,3.351440907E0
1.660126594E2,5.238751312E1,4.954790780E0,4.704303696E0,2.970000029E0,2.388999939E2,3.790092468E0,3.578662157E0
1.670118776E2,5.238749933E1,4.954752650E0,4.357093848E0,2.970000029E0,2.331999969E2,3.790092468E0,3.672476292E0
1.680133251E2,5.238748584E1,4.954716680E0,5.431699651E0,2.869999886E0,2.296000061E2,3.790092468E0,3.806684971E0
1.690073340E2,5.238747308E1,4.954683690E0,5.500754034E0,2.819999933E0,2.310000000E2,3.790092468E0,3.700582743E0
1.700141108E2,5.238746274E1,4.954646190E0,4.930649078E0,2.920000076E0,2.438000031E2,3.790092468E0,3.622326851E0
1.710155878E2,5.238745369E1,4.954607930E0,5.395579697E0,2.819999933E0,2.423000031E2,3.790092468E0,3.468132734E0
1.720151953E2,5.238744469E1,4.954565640E0,6.327976300E0,2.869999886E0,2.458999939E2,3.790092468E0,3.757614374E0
1.730128871E2,5.238743682E1,4.954519440E0,7.120418620E0,2.950000048E0,2.543999939E2,3.790092468E0,3.782786846E0
1.740121309E2,5.238742681E1,4.954475210E0,6.936296539E0,2.900000095E0,2.448000031E2,3.790092468E0,3.835013866E0
1.750082662E2,5.238741857E1,4.954432300E0,6.315349137E0,2.900000095E0,2.526999969E2,3.790092468E0,4.009549141E0
1.760137946E2,5.238741451E1,4.954379040E0,6.324772750E0,3.099999905E0,2.657999878E2,3.790092468E0,4.096212864E0
1.770136261E2,5.238740972E1,4.954324520E0,6.946743416E0,3.009999990E0,2.593999939E2,3.790092468E0,4.126959801E0
1.780121837E2,5.238740010E1,4.954276040E0,7.383896270E0,2.890000105E0,2.491999969E2,3.790092468E0,3.958489895E0
1.790155593E2,5.238738953E1,4.954230280E0,7.893742227E0,2.950000048E0,2.538999939E2,3.790092468E0,4.016728878E0
1.800303677E2,5.238737971E1,4.954186540E0,8.192042579E0,2.950000048E0,2.511000061E2,3.790092468E0,4.162188053E0
1.810136768E2,5.238736652E1,4.954147060E0,8.313826942E0,2.980000019E0,2.385000000E2,3.790092468E0,4.230884552E0
1.820122504E2,5.238735873E1,4.954105130E0,7.786752823E0,3.039999962E0,2.562999878E2,3.790092468E0,4.174435139E0
1.830081620E2,5.238735315E1,4.954062710E0,7.512428150E0,2.750000000E0,2.572000122E2,3.790092468E0,4.307995319E0
1.840137236E2,5.238734583E1,4.954014480E0,7.001647415E0,3.009999990E0,2.583999939E2,3.790092468E0,4.176040649E0
1.850123495E2,5.238733827E1,4.953966860E0,6.310874019E0,2.970000029E0,2.565000000E2,3.790092468E0,3.970009804E0
1.860081771E2,5.238733648E1,4.953918930E0,6.591361103E0,3.089999914E0,2.748999939E2,3.790092468E0,3.966134787E0
1.870189683E2,5.238734404E1,4.953872980E0,6.107458364E0,3.099999905E0,2.922999878E2,3.790092468E0,3.694465637E0
1.880089767E2,5.238736360E1,4.953830730E0,6.587686206E0,3.849999905E0,3.158999939E2,3.790092468E0,3.317611694E0
1.890110337E2,5.238739166E1,4.953800380E0,6.343628895E0,3.480000019E0,3.298999939E2,3.790092468E0,2.964384556E0
1.900145449E2,5.238742010E1,4.953781390E0,7.449371229E0,3.329999924E0,3.465000000E2,3.790092468E0,2.972907543E0
1.910096478E2,5.238744399E1,4.953763960E0,7.628350177E0,3.019999981E0,3.356000061E2,3.790092468E0,2.958600998E0
1.920116801E2,5.238746780E1,4.953743130E0,7.679275272E0,3.150000095E0,3.358999939E2,3.790092468E0,2.732553005E0
1.930141039E2,5.238749054E1,4.953719010E0,6.968111963E0,3.089999914E0,3.325000000E2,3.790092468E0,2.546188354E0
1.940123387E2,5.238751238E1,4.953696960E0,6.719839203E0,3.029999971E0,3.346000061E2,3.790092468E0,2.500000000E0
1.950126513E2,5.238753594E1,4.953677440E0,6.527051326E0,3.099999905E0,3.395000000E2,3.790092468E0,2.500000000E0
1.960121583E2,5.238755987E1,4.953656540E0,6.987583483E0,3.119999886E0,3.351000061E2,3.790092468E0,2.500000000E0
1.970123834E2,5.238758299E1,4.953634560E0,7.021111904E0,3.099999905E0,3.325000000E2,3.790092468E0,2.500000000E0
1.980126928E2,5.238760604E1,4.953612350E0,6.170789992E0,3.069999933E0,3.335000000E2,3.790092468E0,2.500000000E0
1.990113764E2,5.238763172E1,4.953595090E0,5.821817487E0,3.119999886E0,3.402999878E2,3.790092468E0,2.500000000E0
2.000127275E2,5.238765862E1,4.953576690E0,5.577704453E0,3.170000076E0,3.382000122E2,3.790092468E0,2.500000000E0
2.010198650E2,5.238768461E1,4.953552370E0,4.477385499E0,3.410000086E0,3.302999878E2,3.790092468E0,2.500000000E0
2.020083409E2,5.238771306E1,4.953529640E0,4.169368340E0,3.319999933E0,3.416000061E2,3.790092468E0,2.500000000E0
2.030162276E2,5.238774015E1,4.953507260E0,4.329061849E0,3.319999933E0,3.328999939E2,3.790092468E0,2.500000000E0
2.040141654E2,5.238776625E1,4.953486430E0,3.665390594E0,3.369999886E0,3.397000122E2,3.790092468E0,2.500000000E0
2.050098669E2,5.238779167E1,4.953473380E0,2.632826422E0,3.259999990E0,3.421000061E2,3.790092468E0,2.537429333E0
2.060100001E2,5.238781606E1,4.953453020E0,1.278662282E0,3.369999886E0,3.285000000E2,3.790092468E0,2.700287342E0
2.070128346E2,5.238784156E1,4.953435080E0,6.459366806E-1,3.319999933E0,3.403999939E2,3.790092468E0,2.721281528E0
2.080129385E2,5.238786858E1,4.953422660E0,3.913292563E-1,3.269999981E0,3.442999878E2,3.790092468E0,2.725040197E0
2.090125528E2,5.238789713E1,4.953422760E0,1.287671254E0,3.400000095E0,1.799999952E0,3.790092468E0,2.507971525E0
2.100136325E2,5.238792363E1,4.953439530E0,1.250975618E0,3.230000019E0,2.329999924E1,3.790092468E0,2.549181938E0
2.110144805E2,5.238794668E1,4.953470510E0,1.535633452E0,3.299999952E0,3.879999924E1,3.790092468E0,2.614435673E0
2.120168389E2,5.238796971E1,4.953505280E0,2.014934581E0,3.410000086E0,3.890000153E1,3.790092468E0,2.579389811E0
2.130119637E2,5.238799582E1,4.953539360E0,2.602332958E0,3.599999905E0,4.159999847E1,3.790092468E0,2.500000000E0
