"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
1.581066741E2,5.239435787E1,4.961566210E0,6.369383021E0,3.470000029E0,3.378999939E2,3.835964680E0,4.025241852E0
1.591061145E2,5.239438377E1,4.961541990E0,5.391012248E0,3.380000114E0,3.355000000E2,3.827280045E0,3.973093033E0
1.601076785E2,5.239441254E1,4.961522390E0,5.062062331E0,3.519999981E0,3.452999878E2,3.790092468E0,3.791435480E0
1.611129371E2,5.239444145E1,4.961499650E0,5.224932067E0,3.519999981E0,3.333999939E2,3.790092468E0,3.747601509E0
1.621041081E2,5.239446894E1,4.961470890E0,4.695230342E0,3.470000029E0,3.321000061E2,3.790092468E0,3.747956276E0
1.631086118E2,5.239449552E1,4.961439680E0,5.053160163E0,3.470000029E0,3.275000000E2,3.790092468E0,3.600753546E0
1.641060524E2,5.239452254E1,4.961410290E0,5.899800172E0,3.440000057E0,3.281000061E2,3.790092468E0,3.596155167E0
1.651039636E2,5.239454763E1,4.961377660E0,6.410620104E0,3.500000000E0,3.210000000E2,3.790092468E0,3.682647467E0
1.661068199E2,5.239457057E1,4.961338300E0,6.134567802E0,3.599999905E0,3.108999939E2,3.790092468E0,3.596761703E0
1.671071427E2,5.239459812E1,4.961309830E0,6.385017697E0,3.789999962E0,3.361000061E2,3.790092468E0,3.671051502E0
1.681072837E2,5.239462824E1,4.961288890E0,5.160255931E0,3.470000029E0,3.367000122E2,3.790092468E0,3.930282593E0
1.691069940E2,5.239465737E1,4.961260250E0,4.920168428E0,3.539999962E0,3.292000122E2,3.790092468E0,4.005981922E0
1.701054823E2,5.239468613E1,4.961231270E0,4.095485472E0,3.539999962E0,3.337000122E2,3.817869902E0,4.235733032E0
1.711030674E2,5.239471640E1,4.961204040E0,4.975273466E0,3.549999952E0,3.367000122E2,3.790092468E0,4.163966656E0
1.721077057E2,5.239474624E1,4.961186830E0,5.484888480E0,3.130000114E0,3.537000122E2,3.891561270E0,4.160317421E0
1.731070870E2,5.239477421E1,4.961175700E0,5.255429674E0,3.200000048E0,3.482999878E2,4.224162579E0,4.505974293E0
1.741052633E2,5.239480286E1,4.961156920E0,6.112087972E0,3.230000019E0,3.437999878E2,3.790092468E0,4.256906986E0
1.751072200E2,5.239483184E1,4.961136090E0,6.813655209E0,3.200000048E0,3.452999878E2,3.802875996E0,4.312323570E0
1.761045459E2,5.239486184E1,4.961110860E0,7.652672501E0,3.289999962E0,3.372999878E2,3.824812651E0,4.361174107E0
1.771018209E2,5.239488887E1,4.961086270E0,7.578294818E0,3.170000076E0,3.373999939E2,3.790092468E0,4.138385773E0
1.781074892E2,5.239491408E1,4.961065350E0,7.388499204E0,3.190000057E0,3.408999939E2,3.790092468E0,4.052565575E0
1.791036587E2,5.239493895E1,4.961050890E0,6.183570162E0,3.009999990E0,3.448999939E2,3.790092468E0,4.007439137E0
1.801028281E2,5.239496522E1,4.961034080E0,6.095707173E0,3.119999886E0,3.447000122E2,3.790092468E0,4.081579208E0
1.811073501E2,5.239499221E1,4.961016640E0,6.327058709E0,3.130000114E0,3.446000061E2,3.807568312E0,4.229564667E0
1.821039194E2,5.239501595E1,4.960991840E0,7.536306582E0,3.109999895E0,3.313999939E2,3.818738699E0,4.227223396E0
1.831077977E2,5.239504156E1,4.960972850E0,7.325699677E0,3.210000038E0,3.501000061E2,3.868579626E0,4.294102192E0
1.841081271E2,5.239506737E1,4.960956920E0,6.948163694E0,3.109999895E0,3.418999939E2,3.790092468E0,3.997444391E0
1.851032247E2,5.239509391E1,4.960941040E0,6.123607297E0,3.089999914E0,3.480000000E2,3.891485453E0,4.205717564E0
1.861064547E2,5.239511827E1,4.960926930E0,5.491431638E0,2.940000057E0,3.466000061E2,3.929321289E0,4.320134640E0
1.871054203E2,5.239514510E1,4.960915010E0,6.051643593E0,3.069999933E0,3.530000000E2,3.940394402E0,4.303541660E0
1.881036993E2,5.239517167E1,4.960897510E0,6.033482776E0,3.119999886E0,3.402000122E2,3.978546619E0,4.364576817E0
1.891069049E2,5.239519818E1,4.960877560E0,6.194214483E0,3.039999962E0,3.407999878E2,4.051806450E0,4.466691971E0
1.901051800E2,5.239522560E1,4.960864430E0,5.475312803E0,3.140000105E0,3.533999939E2,4.330402851E0,4.696857452E0
1.911058429E2,5.239525494E1,4.960857620E0,6.056649489E0,3.150000095E0,3.572999878E2,4.678037643E0,4.813531876E0
1.921072553E2,5.239528040E1,4.960842440E0,6.739111002E0,2.670000076E0,3.420000000E2,4.399284840E0,4.590442657E0
1.931056326E2,5.239530850E1,4.960810520E0,5.400814540E0,3.319999933E0,3.236000061E2,4.674117088E0,4.757496357E0
1.941061441E2,5.239533879E1,4.960779380E0,5.827048024E0,3.200000048E0,3.362999878E2,4.471548557E0,4.553256512E0
1.951124711E2,5.239536360E1,4.960766530E0,5.199207238E0,2.079999924E0,3.587999878E2,4.279530525E0,4.375705242E0
1.961105400E2,5.239538226E1,4.960754840E0,4.526253380E0,2.049999952E0,3.387000122E2,4.198423862E0,4.207255840E0
1.971060780E2,5.239540131E1,4.960742550E0,4.829129805E0,2.230000019E0,3.517999878E2,4.194925785E0,4.166042805E0
1.981054399E2,5.239542008E1,4.960730760E0,4.673754170E0,2.200000048E0,3.441000061E2,4.294986248E0,4.253808975E0
1.991038614E2,5.239544244E1,4.960714360E0,5.179574806E0,2.319999933E0,3.437000122E2,4.384432793E0,4.355518341E0
2.001071302E2,5.239546583E1,4.960699210E0,4.550021665E0,2.339999914E0,3.423999939E2,4.457305908E0,4.457879066E0
2.011043378E2,5.239549309E1,4.960679890E0,3.514770921E0,2.650000095E0,3.385000000E2,4.557800293E0,4.699934959E0
2.021047996E2,5.239552371E1,4.960663130E0,3.853733008E0,2.890000105E0,3.513999939E2,4.568504810E0,4.809264183E0
2.031060524E2,5.239555673E1,4.960641280E0,3.423591537E0,3.019999981E0,3.368999939E2,4.575404167E0,5.142389774E0
2.041076959E2,5.239558473E1,4.960619410E0,2.521274927E0,2.859999895E0,3.383999939E2,4.732267857E0,5.370001316E0
2.051058067E2,5.239561145E1,4.960594430E0,2.475522055E0,2.930000067E0,3.332000122E2,4.799164772E0,5.380029202E0
2.061072480E2,5.239564027E1,4.960570860E0,2.308068901E0,3.000000000E0,3.380000000E2,4.701910973E0,5.303514481E0
2.071082062E2,5.239567103E1,4.960546380E0,3.287895813E0,3.000000000E0,3.352999878E2,4.708212376E0,5.436888695E0
2.081095954E2,5.239570067E1,4.960521770E0,4.507528180E0,3.069999933E0,3.383999939E2,4.617704391E0,5.291998863E0
2.091073754E2,5.239573124E1,4.960491880E0,6.269700290E0,3.250000000E0,3.287000122E2,4.350109100E0,4.917520523E0
2.101055650E2,5.239575883E1,4.960460760E0,6.456794189E0,3.150000095E0,3.311000061E2,4.193751335E0,4.634559155E0
2.111106380E2,5.239578741E1,4.960430950E0,7.121612433E0,3.160000086E0,3.322000122E2,4.126091003E0,4.371678352E0
2.121069581E2,5.239581761E1,4.960403280E0,7.763057773E0,3.200000048E0,3.350000000E2,3.991262913E0,4.080038071E0
